Treatment,Height
low sun exposure and water daily,6
low sun exposure and water daily,6
low sun exposure and water daily,6
low sun exposure and water daily,5
low sun exposure and water daily,6
medium sun exposure and water daily ,5
medium sun exposure and water daily ,5
medium sun exposure and water daily ,6
medium sun exposure and water daily ,4
medium sun exposure and water daily ,5
high sun exposure and water daily,6
high sun exposure and water daily,6
high sun exposure and water daily,7
high sun exposure and water daily,8
high sun exposure and water daily,7
low sun exposure and water weekly,3
low sun exposure and water weekly,4
low sun exposure and water weekly,4
low sun exposure and water weekly,4
low sun exposure and water weekly,5
medium sun exposure and water weekly,4
medium sun exposure and water weekly,4
medium sun exposure and water weekly,4
medium sun exposure and water weekly,4
medium sun exposure and water weekly,4
high sun exposure and water weekly,5
high sun exposure and water weekly,6
high sun exposure and water weekly,6
high sun exposure and water weekly,7
high sun exposure and water weekly,8
